Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C16, C2, C27, C29, C3, C4, C5, C8",0805,10,100n,
"C10, C11, C15, C17, C18, C20, C21, C22, C24, C25, C26, C28, C9",0805,13,C,
C12,1210,1,22u,
"C14, C19, C23",0805,3,10u,
C6,0805,1,1u,
C7,0603,1,100n,
"CANH1, CANL1",TestPoint_Pad_D1.5mm,2,TestPoint,
CR1,SMASeries_LTF,1,SMAJ6.0A,
"D1, D5",SOT65P210X110-3N,2,ESDA25W,
"D10, D11, D12, D13, D17, D2, D3, D4, D6, D7, D8, D9",0805,12,LED,
"D14, D16, D18",SODFL1006X43N,3,ESD9X5.0ST5G,
FB1,0805,1,600R,
J1,AMPHENOL_54202-T0804LF,1,54202-T0804LF,
J2,CONN_SD-43045-007_06_MOL,1,430450619,
L1,IND_25_0805_FRT,1,2508051217Y6,
Q1,SOT-23-3L_AOS,1,AO3407A,
"R10, R14, R18, R2, R23, R24, R25, R29, R3, R30, R32, R4",0805,12,2k,
R11,0805,1,100k,
"R12, R19",POT_P120PK-x25_TTE,2,P120PK-Y25BR10K,
"R13, R15, R16, R20, R21, R22, R26, R27, R28, R31, R6, R7, R8",0805,13,470R,
"R17, R9",0805,2,470,
R33,0805,1,R,
S1,SW_TS04-66-50-BK-160-SMT,1,TS04-66-50-BK-160-SMT,
"S10, S11, S12, S13, S14, S2, S3, S4, S5, S6, S7, S8, S9",SW_D6R90_F2_LFS,13,D6R90_F2_LFS,
U1,QFP50P1200X1200X160-64N,1,FS32K118LAT0MLHT,
U2,SO-8EP_3P9X4P9_DIO,1,AP7362A-33SP-13,
"U3, U4",ANT13SEC_CRS,2,ANT13SECQE,
U5,SOIC8_4P9X3P9MC_MCH,1,MCP2542FD,
U6,SOT323-3L_STM,1,ESDCAN05-2BWY,
"U7, U8, U9",SC74-6_3P1X1P7_ONS,3,MMQA33VT1G,
X1,XTAL_ASE-8.000MHZ-LC-T,1,OXETDLJANF-8MHZ,
