Designator,Mid X,Mid Y,Rotation,Layer
C1,189.0,-145.4125,270.0,bottom
C10,226.75,-138.0,270.0,bottom
C11,228.17125,-167.50625,270.0,bottom
C12,206.25,-85.898501,270.0,bottom
C13,201.75,-84.648501,0.0,bottom
C14,201.75,-82.398501,0.0,bottom
C15,280.75,-167.50625,270.0,bottom
C16,180.675,-182.975,180.0,bottom
C17,305.95625,-167.50625,270.0,bottom
C18,253.75,-80.8,270.0,bottom
C19,201.75,-87.148501,0.0,bottom
C2,206.5,-113.05,270.0,bottom
C20,280.75,-138.0,270.0,bottom
C21,254.5,-167.50625,270.0,bottom
C22,282.25,-79.0,270.0,bottom
C23,205.5,-92.25,90.0,bottom
C24,307.0,-80.75,270.0,bottom
C25,253.75,-138.0,270.0,bottom
C26,305.0,-138.0,270.0,bottom
C27,215.5,-91.75,270.0,bottom
C28,177.94,-83.84,180.0,bottom
C29,219.75,-97.5,0.0,bottom
C3,202.5,-118.05,270.0,bottom
C4,204.25,-113.05,270.0,bottom
C5,200.5,-118.05,270.0,bottom
C6,202.0,-113.05,270.0,bottom
C7,201.51675,-104.0,180.0,bottom
C8,181.2375,-120.7,180.0,bottom
C9,229.0,-80.8,270.0,bottom
CR1,219.6982,-83.1985,180.0,bottom
D1,301.06,-108.28,90.0,bottom
D10,234.44,-107.18,0.0,top
D11,264.575,-107.18,0.0,top
D12,313.75,-69.5,0.0,top
D13,313.0,-144.0,0.0,top
D14,180.1725,-179.275,180.0,bottom
D16,180.92,-124.54,0.0,bottom
D17,181.5,-68.75,0.0,top
D18,178.52,-82.26,180.0,bottom
D2,237.85,-100.05,0.0,bottom
D3,237.85,-102.55,0.0,bottom
D4,237.85,-104.8,0.0,bottom
D5,248.58,-107.85,90.0,bottom
D6,234.9125,-69.0,0.0,top
D7,312.8,-173.8,0.0,top
D8,261.0,-69.0,0.0,top
D9,287.5,-69.0,0.0,top
FB1,200.0,-113.1,270.0,bottom
J1,210.69,-144.02,180.0,bottom
J2,212.500001,-74.261499,0.0,bottom
L1,206.3737,-82.398501,180.0,bottom
Q1,210.5562,-83.351001,90.0,bottom
R10,232.75,-83.25,180.0,bottom
R11,210.75,-86.648501,180.0,bottom
R12,180.45,-122.5186,0.0,top
R13,303.95625,-167.52625,90.0,bottom
R14,316.45,-173.8,0.0,bottom
R15,278.5,-167.52625,90.0,bottom
R16,251.75,-80.8,90.0,bottom
R17,180.625,-180.825,0.0,bottom
R18,258.0875,-83.5,180.0,bottom
R19,180.3,-171.8913,0.0,top
R2,234.35,-100.05,180.0,bottom
R20,278.75,-138.02,90.0,bottom
R21,280.25,-79.0,270.0,bottom
R22,252.5,-167.52625,90.0,bottom
R23,284.75,-83.5,180.0,bottom
R24,234.36,-109.25,180.0,bottom
R25,264.55,-109.23,180.0,bottom
R26,303.0,-138.02,90.0,bottom
R27,251.75,-138.02,90.0,bottom
R28,305.0,-80.75,90.0,bottom
R29,311.5,-84.0,180.0,bottom
R3,234.35,-102.55,180.0,bottom
R30,316.5,-144.0,0.0,bottom
R31,177.91,-85.85,0.0,bottom
R32,182.05,-85.15,180.0,bottom
R33,219.5,-87.25,0.0,bottom
R4,234.35,-104.8,180.0,bottom
R6,227.0,-80.8,90.0,bottom
R7,226.17125,-167.52625,90.0,bottom
R8,224.75,-138.02,90.0,bottom
R9,181.2875,-122.9,0.0,bottom
S1,196.25,-145.3,0.0,bottom
S10,287.5,-77.5,0.0,top
S11,261.0,-136.5,0.0,top
S12,314.0,-77.5,0.0,top
S13,313.0,-136.5,0.0,top
S14,181.5,-77.5,0.0,top
S2,235.0,-77.5,0.0,top
S3,235.0,-166.0,0.0,top
S4,234.5,-136.5,0.0,top
S5,288.0,-166.0,0.0,top
S6,313.5,-166.0,0.0,top
S7,261.0,-77.5,0.0,top
S8,288.5,-136.5,0.0,top
S9,262.0,-166.0,0.0,top
U1,217.25,-115.83,180.0,bottom
U2,201.365,-92.353601,270.0,bottom
U3,248.5,-114.0,0.0,top
U4,301.1049,-114.0,0.0,top
U5,219.5,-92.5,90.0,bottom
U6,211.100001,-66.4586,0.0,bottom
U7,273.7438,-79.05,0.0,bottom
U8,274.8162,-138.01,0.0,bottom
U9,274.51,-167.53,0.0,bottom
X1,201.55,-107.075,270.0,bottom
